DATE,TAVG,TMAX,TMIN
Apr-84,13.89,17.33,10.45
May-84,19.44,23.27,15.6
Jun-84,24.42,27.24,21.59
Jul-84,29.25,32.73,25.76
Aug-84,28.4,31.4,25.41
Sep-84,23.79,27.25,20.33
Oct-84,19.3,23.34,15.26
Nov-84,14.75,18.56,10.95
Dec-84,5.87,9.46,2.29
Jan-85,4.27,7.71,0.83
Feb-85,5.8,8.71,2.88
Mar-85,7.19,9.85,4.54
Apr-85,15.54,19.98,11.09
May-85,20.52,23.96,17.08
Jun-85,23.45,26.4,20.5
Jul-85,28.67,31.99,25.34
Aug-85,28.15,31.12,25.17
Sep-85,25.39,28.36,22.42
Oct-85,19.47,22.46,16.49
Nov-85,12.29,16.55,8.03
Dec-85,5.01,8.99,1.03
Jan-86,3.79,8.02,-0.45
Feb-86,4.39,8.08,0.7
Mar-86,9.09,13.22,4.96
Apr-86,14.26,17.76,10.77
May-86,20.28,24.67,15.88
Jun-86,24.46,27.57,21.35
Jul-86,28.08,31.42,24.74
Aug-86,27.77,31.12,24.42
Sep-86,22.88,26.56,19.2
Oct-86,17.51,21.49,13.54
Nov-86,12.91,16.06,9.76
Dec-86,7.4,11.38,3.43
Jan-87,5.4,9.23,1.58
Feb-87,7.02,11.24,2.79
Mar-87,8.22,11.37,5.06
Apr-87,14.1,18.28,9.91
May-87,19.29,23.32,15.25
Jun-87,23,26.76,19.24
Jul-87,27.53,30.73,24.33
Aug-87,29.12,33,25.25
Sep-87,23.07,26.4,19.75
Oct-87,20.13,23.35,16.91
Nov-87,13.89,17.55,10.23
Dec-87,6.46,11.85,1.06
Jan-88,5.7,9.03,2.36
Feb-88,4.82,7.66,1.98
Mar-88,7.82,11.25,4.4
Apr-88,15.6,20.14,11.06
May-88,19.86,23.7,16.02
Jun-88,24.61,28.04,21.18
Jul-88,29.85,33.8,25.9
Aug-88,27.12,30.55,23.69
Sep-88,23.29,26.46,20.12
Oct-88,19.42,22.87,15.98
Nov-88,11.78,17.07,6.49
Dec-88,7.38,11.78,2.99
Jan-89,5.71,8.22,3.19
Feb-89,5.71,8.86,2.57
Mar-89,9.81,13.85,5.78
Apr-89,14.78,18.3,11.25
May-89,19.4,22.87,15.94
Jun-89,24.12,27.8,20.44
Jul-89,26.57,29.49,23.66
Aug-89,27.52,30.33,24.71
Sep-89,24.22,27.15,21.29
Oct-89,18.7,23.15,14.25
Nov-89,12.63,16.45,8.81
Dec-89,7.56,11.77,3.35
Jan-90,5.4,8.54,2.27
Feb-90,5.99,8.78,3.2
Mar-90,11.69,15.73,7.66
Apr-90,15.05,19.1,10.99
May-90,20.57,24.76,16.37
Jun-90,25.87,29.65,22.08
Jul-90,30.16,33.85,26.47
Aug-90,29.11,32.22,26.01
Sep-90,23.97,27.13,20.81
Oct-90,18.65,22.39,14.91
Nov-90,14.65,19.24,10.07
Dec-90,7.2,11.75,2.66
